timestamp,job_id,tree_id,candidate_id,quality_score,occupancy,sharpness,contrast,brightness,raw_predicted_class,raw_confidence,prototype_distance,prototype_z,energy,energy_z,combined_unknownness,threshold,decision_margin,open_set_rejected,consensus_status,final_species
2026-08-08T05:30:56.588374,pine__pine_013,10,2,0.7255,0.8721,289.36,22.67,38.0,mahogany,0.9527,0.0019,-0.4183,-2.9494,0.003,-0.3972,-0.0323,-0.3649,False,known,mahogany
2026-08-08T05:30:56.588374,pine__pine_013,10,3,0.7167,0.8492,320.24,21.98,39.27,mahogany,0.9496,0.0019,-0.4187,-2.92,0.1028,-0.3926,-0.0323,-0.3603,False,known,mahogany
2026-08-08T05:30:56.588374,pine__pine_013,10,5,0.7087,0.8515,237.3,18.8,40.8,mahogany,0.9445,0.0022,-0.416,-2.8657,0.2872,-0.3808,-0.0323,-0.3485,False,known,mahogany
2026-08-08T05:30:56.588374,pine__pine_013,14,1,0.584,0.4966,211.73,19.27,39.05,teak,0.8688,0.0257,-0.194,-2.3016,2.2027,-0.0742,-0.0323,-0.0419,False,known,teak
2026-08-08T05:31:28.329084,pine__pine_014,3,6,0.8161,0.9581,674.7,40.69,38.33,mahogany,0.8987,0.0213,-0.2355,-2.5295,1.4287,-0.1523,-0.0323,-0.1199,False,uncertain,Uncertain
2026-08-08T05:31:28.330085,pine__pine_014,3,2,0.7051,0.8101,429.7,25.68,30.54,mahogany,0.8069,0.0728,0.2502,-2.1641,2.6693,0.3712,-0.0323,0.4035,True,uncertain,Uncertain
2026-08-08T05:31:28.330085,pine__pine_014,3,1,0.6663,0.5855,509.06,35.99,35.25,teak,0.7398,0.0836,0.3518,-1.9206,3.4962,0.509,-0.0323,0.5414,True,uncertain,Uncertain
2026-08-08T05:31:28.330085,pine__pine_014,6,4,0.7589,0.9725,373.38,22.54,36.86,mahogany,0.9416,0.0024,-0.4137,-2.8427,0.3655,-0.3748,-0.0323,-0.3425,False,known,mahogany
2026-08-08T05:31:28.330085,pine__pine_014,6,5,0.7447,0.9508,315.24,20.92,35.88,mahogany,0.946,0.0024,-0.4143,-2.8841,0.2249,-0.3823,-0.0323,-0.35,False,known,mahogany
2026-08-08T05:31:28.331342,pine__pine_014,6,3,0.7369,0.8969,315.09,23.14,38.96,mahogany,0.9429,0.0041,-0.398,-2.8747,0.2568,-0.3653,-0.0323,-0.333,False,known,mahogany
2026-08-08T05:31:28.331342,pine__pine_014,9,1,0.5937,0.499,382.5,21.27,40.92,teak,0.815,0.0562,0.0929,-2.1562,2.6961,0.2231,-0.0323,0.2554,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:31:50.452371,pine__pine_015,1,1,0.5856,0.4029,381.12,33.36,28.34,mahogany,0.5566,0.1998,1.4478,-1.8298,3.8044,1.5656,-0.0323,1.5979,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:31:50.452371,pine__pine_015,2,1,0.6293,0.4782,511.86,37.76,30.61,teak,0.8992,0.0173,-0.2739,-2.4888,1.567,-0.1818,-0.0323,-0.1495,False,known,teak
2026-08-08T05:31:50.452371,pine__pine_015,3,2,0.722,0.9439,211.27,18.51,25.41,mahogany,0.9453,0.0018,-0.42,-2.9056,0.1519,-0.3914,-0.0323,-0.3591,False,known,mahogany
2026-08-08T05:31:50.452371,pine__pine_015,4,1,0.6781,0.648,561.39,34.63,30.47,mahogany,0.457,0.2335,1.7653,-1.8062,3.8845,1.8713,-0.0323,1.9036,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:33:00.027067,pine__pine_017,3,1,0.6257,0.513,215.07,33.34,29.75,teak,0.8199,0.0448,-0.0138,-2.1148,2.8368,0.1287,-0.0323,0.161,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:33:00.027067,pine__pine_017,8,1,0.3666,0.4304,55.43,15.58,45.23,mahogany,0.6208,0.0556,0.0879,-1.5634,4.7088,0.319,-0.0323,0.3513,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:34:41.963393,pine__pine_018,3,4,0.6255,0.6576,160.54,19.09,26.94,teak,0.9055,0.0124,-0.3198,-2.5458,1.3736,-0.2351,-0.0323,-0.2028,False,known,teak
2026-08-08T05:34:41.963393,pine__pine_018,3,6,0.5946,0.5379,151.6,21.77,28.68,teak,0.9094,0.0075,-0.3658,-2.5444,1.3781,-0.2786,-0.0323,-0.2463,False,known,teak
2026-08-08T05:34:41.963393,pine__pine_018,6,1,0.6363,0.6689,163.95,19.06,32.87,teak,0.7934,0.0598,0.1276,-2.0019,3.2202,0.2823,-0.0323,0.3146,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:34:41.963393,pine__pine_018,7,1,0.5936,0.4095,365.79,30.99,39.87,teak,0.8734,0.0214,-0.2348,-2.3696,1.9716,-0.1245,-0.0323,-0.0922,False,known,teak
